"resource_uri","id","pacer_rss_entry_types","fjc_court_id","date_modified","in_use","has_opinion_scraper","has_oral_argument_scraper","position","citation_string","short_name","full_name","url","start_date","jurisdiction","pacer_court_id","end_date","pacer_has_rss_feed"
"https://www.courtlistener.com/api/rest/v3/courts/mdb/","mdb","all","16","2020-07-27T23:14:14.798827-07:00",TRUE,FALSE,FALSE,188.9,"Bankr. D. Md.","D. Maryland","United States Bankruptcy Court, D. Maryland","http://www.mdb.uscourts.gov/",NA,"FB",92,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/mab/","mab","answer,appeal,caseupld,claims,cmp,crbatch,misc,motion,notice,order,plan","01","2020-07-27T23:15:12.635280-07:00",TRUE,FALSE,FALSE,189,"Bankr. D. Mass.","D. Massachusetts","United States Bankruptcy Court, D. Massachusetts","http://www.mab.uscourts.gov/",NA,"FB",94,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/mieb/","mieb","all","45","2020-07-27T23:12:21.348952-07:00",TRUE,FALSE,FALSE,189.1,"Bankr. E.D. Mich.","E.D. Michigan","United States Bankruptcy Court, E.D. Michigan","http://www.mieb.uscourts.gov/",NA,"FB",96,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/miwb/","miwb","","46","2013-08-14T17:48:40-07:00",TRUE,FALSE,FALSE,189.2,"Bankr. W.D. Mich.","W.D. Michigan","United States Bankruptcy Court, W.D. Michigan","http://www.miwb.uscourts.gov/",NA,"FB",98,NA,FALSE
"https://www.courtlistener.com/api/rest/v3/courts/mnb/","mnb","all","64","2020-07-27T23:15:12.320578-07:00",TRUE,FALSE,FALSE,189.3,"Bankr. D. Minn.","D. Minnesota","United States Bankruptcy Court, D. Minnesota","http://www.mnb.uscourts.gov/",NA,"FB",100,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/msnb/","msnb","answer,appeal,court,motion,order","37","2020-07-27T23:15:10.770264-07:00",TRUE,FALSE,FALSE,189.34,"Bankr. N.D. Miss.","N.D. Mississippi","United States Bankruptcy Court, N.D. Mississippi","http://www.msnb.uscourts.gov/",NA,"FB",102,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/mssb/","mssb","answer,appeal,court,motion,order,trustee","38","2020-07-27T23:15:12.313762-07:00",TRUE,FALSE,FALSE,189.35,"Bankr. S.D. Miss.","S.D. Mississippi","United States Bankruptcy Court, S.D. Mississippi","http://www.mssb.uscourts.gov/",NA,"FB",104,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/moeb/","moeb","all","65","2020-07-27T23:11:07.325795-07:00",TRUE,FALSE,FALSE,189.4,"Bankr. E.D. Mo.","E.D. Missouri","United States Bankruptcy Court, E.D. Missouri","http://www.moeb.uscourts.gov/",NA,"FB",106,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/mowb/","mowb","discharge,epo,order","66","2020-07-30T11:32:59.155332-07:00",TRUE,FALSE,FALSE,189.5,"Bankr. W.D. Mo.","W.D. Missouri","United States Bankruptcy Court, W.D. Missouri","http://www.mow.uscourts.gov/bankruptcy/",NA,"FB",108,NA,TRUE
"https://www.courtlistener.com/api/rest/v3/courts/mtb/","mtb","answer,appeal,court,motion,order","77","2020-08-27T12:03:54.166901-07:00",TRUE,FALSE,FALSE,189.6,"Bankr. D. Mont.","D. Montana","United States Bankruptcy Court, D. Montana","http://www.mtb.uscourts.gov/",NA,"FB",110,NA,TRUE
